등록번호용기관코드,시도코드,시군구코드,출장소구분,기관명칭,변동일자,변동전등록번호용기관코드,변경전기관명,사용여부,고시일자,고시번호,관보번호,관보일자
1100,11,,미존재소관청,서울특별시,,,,사용,,,,
1111,11,110,미존재소관청,종로구,,,,사용,,,,
1112,11,140,미존재소관청,중구,,,,사용,,,,
1113,11,170,미존재소관청,용산구,,,,사용,,,,
1114,11,200,미존재소관청,성동구,,,,사용,,,,
1115,11,230,미존재소관청,동대문구,,,,사용,,,,
1116,11,290,미존재소관청,성북구,1994-12-26,1117,도봉구,사용,,,,
1117,11,320,미존재소관청,도봉구,,,,사용,,,,
1118,11,380,미존재소관청,은평구,,,,사용,,,,
1119,11,410,미존재소관청,서대문구,,,,사용,,,,
1120,11,440,미존재소관청,마포구,,,,사용,,,,
1121,11,500,미존재소관청,강서구,,,,사용,,,,
1122,11,530,미존재소관청,구로구,,,,사용,,,,
1123,11,560,미존재소관청,영등포구,,,,사용,,,,
1124,11,590,미존재소관청,동작구,,,,사용,,,,
1125,11,620,미존재소관청,관악구,,,,사용,,,,
1126,11,680,미존재소관청,강남구,,,,사용,,,,
1127,11,740,미존재소관청,강동구,,,,사용,,,,
1128,11,260,미존재소관청,중랑구,1988-01-01,1115,동대문구,사용,,,,
1129,11,350,미존재소관청,노원구,1988-01-01,1117,도봉구,사용,,,,
1130,11,470,미존재소관청,양천구,1988-01-01,1121,강서구,사용,,,,
1131,11,650,미존재소관청,서초구,1988-01-01,1126,강남구,사용,,,,
1132,11,710,미존재소관청,송파구,1988-01-01,1127,강동구,사용,,,,
1133,11,215,미존재소관청,광진구,1995-03-01,1114,성동구,사용,,,,
1134,11,305,미존재소관청,강북구,1995-03-01,1117,도봉구,사용,,,,
1135,11,545,미존재소관청,금천구,1995-03-01,1122,구로구,사용,,,,
2100,26,,미존재소관청,부산광역시,,,,사용,,,,
2111,26,110,미존재소관청,중 구,,,,사용,,,,
2112,26,140,미존재소관청,서 구,,,,사용,,,,
2113,26,170,미존재소관청,동 구,,,,사용,,,,
2114,26,200,미존재소관청,영도구,,,,사용,,,,
2115,26,230,미존재소관청,부산진구,,,,사용,,,,
2116,26,260,미존재소관청,동래구,,,,사용,,,,
2117,26,290,미존재소관청,남 구,,,,사용,,,,
2118,26,320,미존재소관청,북 구,,,,사용,,,,
2119,26,350,미존재소관청,해운대구,,,,사용,,,,
2120,26,380,미존재소관청,사하구,,,,사용,,,,
2121,26,410,미존재소관청,금정구,1988-01-01,2116,동래구,사용,,,,
2122,26,440,미존재소관청,강서구,1989-01-01,3839,의창군,사용,,,,
2123,26,470,미존재소관청,연제구,1995-03-01,2116,동래구,사용,,,,
2124,26,500,미존재소관청,수영구,1995-03-01,2117,남구,사용,,,,
